,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,matchscore,foscttm
500,0.059468283582089554,0.1576492537313433,0.23554104477611942,0.34328358208955223,0.5349813432835822,0.7082555970149254,0.06389925628900528,0.04862297885119915
1000,0.13666044776119401,0.33465485074626866,0.4584888059701493,0.5855876865671642,0.7644589552238805,0.8701026119402986,0.15764924883842468,0.024038144387304783
1500,0.13736007462686567,0.34421641791044777,0.46501865671641796,0.6026119402985075,0.7793843283582089,0.8836287313432836,0.1581156700849533,0.022283853963017464
2000,0.14855410447761194,0.35237873134328357,0.4708488805970149,0.6072761194029851,0.7845149253731343,0.8962220149253731,0.16604477167129517,0.01998853124678135
2500,0.13362873134328357,0.3376865671641791,0.46105410447761197,0.5928171641791045,0.773554104477612,0.8815298507462687,0.14832089841365814,0.020016593858599663
3000,0.134794776119403,0.3278917910447761,0.4493936567164179,0.5900186567164178,0.7653917910447761,0.8780317164179104,0.15578357875347137,0.02114761434495449
3500,0.12103544776119403,0.31413246268656714,0.4409981343283582,0.5748600746268657,0.7621268656716418,0.8759328358208955,0.13432836532592773,0.02183201164007187
4000,0.1238339552238806,0.31763059701492535,0.435634328358209,0.5767257462686567,0.7590951492537313,0.8752332089552239,0.14039179682731628,0.02254382334649563
4500,0.12569962686567165,0.30666977611940294,0.42910447761194026,0.5708955223880597,0.759794776119403,0.8770988805970149,0.14085820317268372,0.02284621074795723
5000,0.12360074626865672,0.30480410447761197,0.4272388059701493,0.5708955223880596,0.7574626865671642,0.875,0.13805970549583435,0.023144682869315147
5500,0.12453358208955224,0.31016791044776115,0.4267723880597015,0.5746268656716418,0.7516324626865671,0.8736007462686567,0.13666044175624847,0.022952374070882797
6000,0.12266791044776118,0.3111007462686567,0.42700559701492535,0.5692630597014925,0.7534981343283582,0.8712686567164178,0.13852612674236298,0.02313663437962532
6500,0.125,0.31016791044776115,0.42770522388059706,0.5694962686567164,0.7506996268656716,0.8710354477611941,0.14085820317268372,0.02315991185605526
7000,0.12360074626865672,0.3062033582089552,0.4281716417910448,0.5699626865671642,0.7525652985074627,0.8729011194029851,0.13666044175624847,0.022998493164777756
7500,0.12360074626865672,0.3083022388059702,0.4267723880597015,0.5706623134328358,0.7506996268656716,0.8712686567164178,0.13666044175624847,0.02313163038343191
8000,0.12383395522388059,0.3090018656716418,0.42700559701492535,0.5690298507462687,0.7506996268656716,0.8717350746268657,0.13852612674236298,0.023296748287975788
8500,0.12453358208955223,0.30946828358208955,0.4267723880597015,0.5694962686567164,0.7523320895522387,0.8717350746268657,0.13852612674236298,0.02333351317793131
9000,0.12360074626865672,0.30923507462686567,0.42630597014925375,0.5692630597014925,0.7502332089552239,0.8694029850746269,0.13619403541088104,0.02333721239119768
