,top_1_hit,top_5_hit,top_10_hit,top_20_hit,top_50_hit,top_100_hit,mathscore,foscttm
500,0.0235,0.086,0.13974999999999999,0.2135,0.3845,0.55025,0.02199999988079071,0.08581675216555595
1000,0.0385,0.11775,0.189,0.295,0.485,0.632,0.03849999979138374,0.07310499623417854
1500,0.046,0.1335,0.20575,0.304,0.48224999999999996,0.6399999999999999,0.042500000447034836,0.07218749821186066
2000,0.037250000000000005,0.12675,0.1975,0.2965,0.46675,0.61575,0.03350000083446503,0.07989924773573875
2500,0.0315,0.10550000000000001,0.16675,0.25275000000000003,0.41475,0.56775,0.032999999821186066,0.1030377522110939
3000,0.028999999999999998,0.09575,0.1525,0.23399999999999999,0.38375,0.52925,0.029999999329447746,0.12470098957419395
3500,0.02475,0.096,0.14300000000000002,0.21675,0.367,0.5025,0.026000000536441803,0.1344045102596283
4000,0.02825,0.09375,0.14375,0.2225,0.36025,0.49424999999999997,0.032999999821186066,0.13959649205207825
4500,0.0265,0.09175,0.14150000000000001,0.2155,0.35525,0.4975,0.029500000178813934,0.14029449224472046
5000,0.0275,0.09,0.1385,0.21275,0.34775,0.492,0.02800000086426735,0.14008025079965591
5500,0.02725,0.086,0.13674999999999998,0.21325,0.35475,0.49375,0.02850000001490116,0.13903824239969254
6000,0.0265,0.0885,0.1355,0.20925,0.35125,0.4905,0.027000000700354576,0.13903450220823288
6500,0.026000000000000002,0.08474999999999999,0.1345,0.20875,0.34925,0.49275,0.027000000700354576,0.13868850469589233
7000,0.02625,0.08374999999999999,0.13724999999999998,0.21200000000000002,0.35150000000000003,0.49174999999999996,0.026499999687075615,0.1369287446141243
7500,0.025750000000000002,0.086,0.13575,0.2095,0.35075,0.4885,0.027499999850988388,0.13678325712680817
