gene,latent_dim,abs_spearman_corr,assignment_cost
PRKAR2B,37,0.9503105590062113,0.04968944099378869
ANKS1A,3,0.9491812535290796,0.05081874647092044
TSPAN18,1,0.9457933370976851,0.054206662902314906
FGR,32,0.8825522303783175,0.11744776962168246
ADAM17,22,0.8802936194240545,0.11970638057594551
LRIG2,43,0.8644833427442123,0.13551665725578765
PIK3AP1,11,0.8633540372670809,0.13664596273291907
OTUD5,5,0.8452851496329757,0.15471485036702426
PPIE,38,0.8418972332015812,0.15810276679841884
RTKN2,27,0.8283455674760022,0.1716544325239978
TRIM73,63,0.8283455674760022,0.1716544325239978
BAZ2B,15,0.8249576510446077,0.17504234895539228
NUDT13,0,0.8238283455674761,0.17617165443252392
VCPIP1,16,0.8238283455674761,0.17617165443252392
TRDMT1,20,0.8226990400903446,0.17730095990965544
AC120193.1,30,0.821569734613213,0.17843026538678697
GSKIP,56,0.8204404291360814,0.1795595708639186
SLC5A4-AS1,23,0.8193111236589498,0.18068887634105024
LINC00996,14,0.8080180688876343,0.19198193111236572
GALNTL6,31,0.805759457933371,0.194240542066629
ACVR2B,49,0.7910784867306607,0.20892151326933928
SCD5,55,0.7899491812535292,0.2100508187464708
HEMGN,60,0.7888198757763977,0.21118012422360233
TIFA,53,0.7876905702992661,0.21230942970073385
AC005532.1,25,0.779785431959345,0.22021456804065498
SYCP3,54,0.7684923771880295,0.23150762281197046
NOL4L,19,0.7673630717108978,0.2326369282891022
AL135978.2,33,0.7639751552795032,0.23602484472049678
RAB9A,34,0.7617165443252402,0.23828345567475984
POC1B,13,0.7594579333709771,0.2405420666290229
ARRDC2,57,0.7571993224167138,0.24280067758328616
LINC02062,35,0.7560700169395823,0.2439299830604177
TLE1,4,0.751552795031056,0.248447204968944
ZNF266,46,0.7492941840767929,0.25070581592320706
AC008691.1,29,0.7413890457368719,0.2586109542631281
ROMO1,44,0.7391304347826088,0.26086956521739124
GRAMD1A,12,0.7368718238283457,0.2631281761716543
NEURL1,8,0.7346132128740825,0.26538678712591746
PPP1R9A,59,0.7334839073969509,0.2665160926030491
ZNF354A,62,0.7323546019198194,0.2676453980801806
ZDHHC8,45,0.7312252964426879,0.26877470355731214
ZNF468,47,0.7244494635798985,0.2755505364201015
RNF122,48,0.7210615471485038,0.2789384528514962
HSPA1B,40,0.7199322416713722,0.28006775832862785
AIM2,7,0.7142857142857144,0.2857142857142856
MED18,6,0.7142857142857144,0.2857142857142856
AL021155.5,42,0.7131564088085828,0.2868435911914172
ZDHHC14,39,0.7097684923771881,0.2902315076228119
HOOK2,26,0.707509881422925,0.29249011857707496
ZNF155,28,0.707509881422925,0.29249011857707496
TCL6,18,0.7063805759457934,0.2936194240542066
LINC01151,36,0.7041219649915303,0.29587803500846965
CYSLTR2,52,0.6984754376058724,0.3015245623941276
CASTOR2,9,0.6849237718802937,0.31507622811970626
SULT1A1,24,0.6792772444946359,0.3207227555053641
ZNF677,61,0.65330321852061,0.34669678147939
ZNF596,51,0.647656691134952,0.35234330886504805
PEX5,58,0.6465273856578204,0.3534726143421796
LINC01013,10,0.6442687747035574,0.35573122529644263
AP1S3,2,0.6318464144551101,0.36815358554488986
MEIKIN,17,0.6307171089779786,0.3692828910220214
BCL2L1,41,0.6194240542066629,0.3805759457933371
UXS1,50,0.6149068322981367,0.3850931677018633
AL078604.4,21,0.5821569734613213,0.41784302653867866
