Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,latent
GO_Biological_Process_2023,One-Carbon Compound Transport (GO:0019755),3/35,5.48336156497629e-06,0.0009486215507408982,0,0,110.00735294117646,1332.6062162903231,HBB;SLC4A1;HBA1,Latent_0
KEGG_2021_Human,One-Carbon Compound Transport (GO:0019755),3/35,5.48336156497629e-06,0.0009486215507408982,0,0,110.00735294117646,1332.6062162903231,HBB;SLC4A1;HBA1,Latent_0
GO_Biological_Process_2023,Oxygen Transport (GO:0015671),2/10,4.254530034649759e-05,0.0029968626130913,0,0,277.3888888888889,2791.9028448786567,HBB;HBA1,Latent_0
GO_Biological_Process_2023,Carbon Dioxide Transport (GO:0015670),2/11,5.196871583395421e-05,0.0029968626130913,0,0,246.55555555555557,2432.238167772633,HBB;HBA1,Latent_0
KEGG_2021_Human,Oxygen Transport (GO:0015671),2/10,4.254530034649759e-05,0.0029968626130913,0,0,277.3888888888889,2791.9028448786567,HBB;HBA1,Latent_0
KEGG_2021_Human,Carbon Dioxide Transport (GO:0015670),2/11,5.196871583395421e-05,0.0029968626130913,0,0,246.55555555555557,2432.238167772633,HBB;HBA1,Latent_0
GO_Biological_Process_2023,Gas Transport (GO:0015669),2/15,9.897575036981038e-05,0.0042807012034942,0,0,170.65811965811966,1573.5763478145914,HBB;HBA1,Latent_0
KEGG_2021_Human,Gas Transport (GO:0015669),2/15,9.897575036981038e-05,0.0042807012034942,0,0,170.65811965811966,1573.5763478145914,HBB;HBA1,Latent_0
GO_Biological_Process_2023,Hydrogen Peroxide Catabolic Process (GO:0042744),2/20,0.00017856345892201654,0.0061782956787017,0,0,123.22222222222224,1063.4775841223657,HBB;HBA1,Latent_0
KEGG_2021_Human,Hydrogen Peroxide Catabolic Process (GO:0042744),2/20,0.00017856345892201654,0.0061782956787017,0,0,123.22222222222224,1063.4775841223657,HBB;HBA1,Latent_0
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),3/134,0.00030840217370871873,0.0087377055311912,0,0,26.738661876964525,216.15817338090815,VAV3;IGKC;INPP5D,Latent_0
GO_Biological_Process_2023,Golgi To Plasma Membrane Protein Transport (GO:0043001),2/28,0.0003535487787187227,0.0087377055311912,0,0,85.27350427350427,677.710245242856,MACF1;KIF13A,Latent_0
